AS209	209
NET-216-206-96-0-1	216.206.96.0/24 (Reassigned)
NET-216-207-153-0-1	216.207.153.0/24 (Reassigned)
NET-216-207-187-0-1	216.207.187.0/24 (Reassigned)
NET-216-207-89-0-1	216.207.89.0/24 (Reassigned)
NET-216-207-92-0-1	216.207.92.0/24 (Reassigned)
NET6-2001-428-1	2001:428::/32 (Direct Allocation)
NET6-2001-428-1002-1	2001:428:1002::/56 (Reassigned)
NET6-2001-428-1802-1	2001:428:1802::/56 (Reassigned)
NET6-2001-428-1C02-1	2001:428:1C02::/56 (Reassigned)
NET6-2001-428-2CFF-FE00-1	2001:428:2CFF:FE00::/56 (Reassigned)
NET6-2001-428-3C02-1	2001:428:3C02::/56 (Reassigned)
NET6-2001-428-4002-1	2001:428:4002::/56 (Reassigned)
NET6-2001-428-4402-1	2001:428:4402::/56 (Reassigned)
NET6-2001-428-4802-1	2001:428:4802::/56 (Reassigned)
NET6-2001-428-4C02-1	2001:428:4C02::/56 (Reassigned)
NET6-2001-428-5402-1	2001:428:5402::/56 (Reassigned)
NET6-2001-428-6802-1	2001:428:6802::/56 (Reassigned)
NET6-2001-428-7402-1	2001:428:7402::/56 (Reassigned)
NET6-2001-428-A402-1	2001:428:A402::/56 (Reassigned)
NET6-2001-428-AA02-1	2001:428:AA02::/56 (Reassigned)
NET6-2001-428-B002-1	2001:428:B002::/56 (Reassigned)
NET6-2001-428-C02-1	2001:428:C02::/56 (Reassigned)
NET-63-144-0-0-1	63.144.0.0/13 (Direct Allocation)
NET-63-144-117-0-1	63.144.117.0/24 (Reassigned)
NET-63-144-204-0-1	63.144.204.0/24 (Reassigned)
NET-63-144-96-0-1	63.144.96.0/24 (Reassigned)
NET-63-145-77-0-1	63.145.77.0/24 (Reassigned)
NET-63-145-93-0-1	63.145.93.0/24 (Reassigned)
NET-63-148-194-0-1	63.148.194.0/24 (Reassigned)
NET-63-149-130-0-1	63.149.130.0/24 (Reassigned)
NET-63-150-208-0-1	63.150.208.0/24 (Reassigned)
NET-63-150-227-0-1	63.150.227.0/24 (Reassigned)
NET-63-151-172-0-1	63.151.172.0/24 (Reassigned)
NET-63-151-188-0-1	63.151.188.0/24 (Reassigned)
NET-63-151-212-0-1	63.151.212.0/24 (Reassigned)
NET-63-156-100-0-1	63.156.100.0/24 (Reassigned)
NET-63-156-10-0-1	63.156.10.0/24 (Reassigned)
NET-63-156-1-0-1	63.156.1.0/24 (Reassigned)
NET-63-156-101-0-1	63.156.101.0/24 (Reassigned)
NET-63-156-102-0-1	63.156.102.0/24 (Reassigned)
NET-63-156-103-0-1	63.156.103.0/24 (Reassigned)
NET-63-156-104-0-1	63.156.104.0/24 (Reassigned)
NET-63-156-105-0-1	63.156.105.0/24 (Reassigned)
NET-63-156-106-0-1	63.156.106.0/24 (Reassigned)
NET-63-156-107-0-1	63.156.107.0/24 (Reassigned)
NET-63-156-108-0-1	63.156.108.0/24 (Reassigned)
NET-63-156-110-0-1	63.156.110.0/24 (Reassigned)
NET-63-156-11-0-1	63.156.11.0/24 (Reassigned)
NET-63-156-111-0-1	63.156.111.0/24 (Reassigned)
NET-63-156-114-0-1	63.156.114.0/24 (Reassigned)
NET-63-156-115-0-1	63.156.115.0/24 (Reassigned)
NET-63-156-116-0-1	63.156.116.0/24 (Reassigned)
NET-63-156-117-0-1	63.156.117.0/24 (Reassigned)
NET-63-156-118-0-1	63.156.118.0/24 (Reassigned)
NET-63-156-119-0-1	63.156.119.0/24 (Reassigned)
NET-63-156-120-0-1	63.156.120.0/24 (Reassigned)
NET-63-156-12-0-1	63.156.12.0/24 (Reassigned)
NET-63-156-121-0-1	63.156.121.0/24 (Reassigned)
NET-63-156-122-0-1	63.156.122.0/24 (Reassigned)
NET-63-156-123-0-1	63.156.123.0/24 (Reassigned)
NET-63-156-125-0-1	63.156.125.0/24 (Reassigned)
NET-63-156-126-0-1	63.156.126.0/24 (Reassigned)
NET-63-156-129-0-1	63.156.129.0/24 (Reassigned)
NET-63-156-130-0-1	63.156.130.0/24 (Reassigned)
NET-63-156-131-0-1	63.156.131.0/24 (Reassigned)
NET-63-156-132-0-1	63.156.132.0/24 (Reassigned)
NET-63-156-133-0-1	63.156.133.0/24 (Reassigned)
NET-63-156-138-0-1	63.156.138.0/24 (Reassigned)
NET-63-156-14-0-1	63.156.14.0/24 (Reassigned)
NET-63-156-145-0-1	63.156.145.0/24 (Reassigned)
NET-63-156-146-0-1	63.156.146.0/24 (Reassigned)
NET-63-156-147-0-1	63.156.147.0/24 (Reassigned)
NET-63-156-149-0-1	63.156.149.0/24 (Reassigned)
NET-63-156-150-0-1	63.156.150.0/24 (Reassigned)
NET-63-156-151-0-1	63.156.151.0/24 (Reassigned)
NET-63-156-154-0-1	63.156.154.0/24 (Reassigned)
NET-63-156-155-0-1	63.156.155.0/24 (Reassigned)
NET-63-156-156-0-1	63.156.156.0/24 (Reassigned)
NET-63-156-158-0-1	63.156.158.0/24 (Reassigned)
NET-63-156-16-0-1	63.156.16.0/24 (Reassigned)
NET-63-156-161-0-1	63.156.161.0/24 (Reassigned)
NET-63-156-164-0-1	63.156.164.0/24 (Reassigned)
NET-63-156-167-0-1	63.156.167.0/24 (Reassigned)
NET-63-156-17-0-1	63.156.17.0/24 (Reassigned)
NET-63-156-177-0-1	63.156.177.0/24 (Reassigned)
NET-63-156-178-0-1	63.156.178.0/24 (Reassigned)
NET-63-156-179-0-1	63.156.179.0/24 (Reassigned)
NET-63-156-180-0-1	63.156.180.0/24 (Reassigned)
NET-63-156-18-0-1	63.156.18.0/24 (Reassigned)
NET-63-156-181-0-1	63.156.181.0/24 (Reassigned)
NET-63-156-182-0-1	63.156.182.0/24 (Reassigned)
NET-63-156-186-0-1	63.156.186.0/24 (Reassigned)
NET-63-156-188-0-1	63.156.188.0/24 (Reassigned)
NET-63-156-190-0-1	63.156.190.0/24 (Reassigned)
NET-63-156-19-0-1	63.156.19.0/24 (Reassigned)
NET-63-156-20-0-1	63.156.20.0/24 (Reassigned)
NET-63-156-2-0-1	63.156.2.0/24 (Reassigned)
NET-63-156-21-0-1	63.156.21.0/24 (Reassigned)
NET-63-156-22-0-1	63.156.22.0/24 (Reassigned)
NET-63-156-225-0-1	63.156.225.0/24 (Reassigned)
NET-63-156-226-0-1	63.156.226.0/24 (Reassigned)
NET-63-156-227-0-1	63.156.227.0/24 (Reassigned)
NET-63-156-230-0-1	63.156.230.0/24 (Reassigned)
NET-63-156-23-0-1	63.156.23.0/24 (Reassigned)
NET-63-156-232-0-1	63.156.232.0/24 (Reassigned)
NET-63-156-233-0-1	63.156.233.0/24 (Reassigned)
NET-63-156-234-0-1	63.156.234.0/24 (Reassigned)
NET-63-156-236-0-1	63.156.236.0/24 (Reassigned)
NET-63-156-237-0-1	63.156.237.0/24 (Reassigned)
NET-63-156-238-0-1	63.156.238.0/24 (Reassigned)
NET-63-156-239-0-1	63.156.239.0/24 (Reassigned)
NET-63-156-241-0-1	63.156.241.0/24 (Reassigned)
NET-63-156-244-0-1	63.156.244.0/24 (Reassigned)
NET-63-156-245-0-1	63.156.245.0/24 (Reassigned)
NET-63-156-246-0-1	63.156.246.0/24 (Reassigned)
NET-63-156-248-0-1	63.156.248.0/24 (Reassigned)
NET-63-156-250-0-1	63.156.250.0/24 (Reassigned)
NET-63-156-251-0-1	63.156.251.0/24 (Reassigned)
NET-63-156-252-0-1	63.156.252.0/24 (Reassigned)
NET-63-156-253-0-1	63.156.253.0/24 (Reassigned)
NET-63-156-254-0-1	63.156.254.0/24 (Reassigned)
NET-63-156-255-0-1	63.156.255.0/24 (Reassigned)
NET-63-156-28-0-1	63.156.28.0/24 (Reassigned)
NET-63-156-29-0-1	63.156.29.0/24 (Reassigned)
NET-63-156-30-0-1	63.156.30.0/24 (Reassigned)
NET-63-156-3-0-1	63.156.3.0/24 (Reassigned)
NET-63-156-31-0-1	63.156.31.0/24 (Reassigned)
NET-63-156-32-0-1	63.156.32.0/24 (Reassigned)
NET-63-156-33-0-1	63.156.33.0/24 (Reassigned)
NET-63-156-35-0-1	63.156.35.0/24 (Reassigned)
NET-63-156-38-0-1	63.156.38.0/24 (Reassigned)
NET-63-156-39-0-1	63.156.39.0/24 (Reassigned)
NET-63-156-40-0-1	63.156.40.0/24 (Reassigned)
NET-63-156-4-0-1	63.156.4.0/24 (Reassigned)
NET-63-156-41-0-1	63.156.41.0/24 (Reassigned)
NET-63-156-42-0-1	63.156.42.0/24 (Reassigned)
NET-63-156-43-0-1	63.156.43.0/24 (Reassigned)
